frame = 0
3.0340e-03 + i 0.0000e+00
8.6616e-03 + i -3.1728e-03
1.4702e-02 + i 6.1125e-03
6.1879e-03 + i 1.8807e-02
-1.1330e-02 + i 1.7080e-02
-1.8625e-02 + i 8.9734e-04
-9.3751e-03 + i -1.2186e-02
3.6002e-03 + i -1.1139e-02
7.7314e-03 + i -2.6702e-03
4.4642e-03 + i 2.1886e-03
1.6986e-03 + i 1.8216e-03
2.0004e-03 + i 1.1009e-03
2.5469e-03 + i 2.4591e-03
1.1390e-03 + i 4.2946e-03
-1.6222e-03 + i 4.4305e-03
-3.6429e-03 + i 2.3207e-03
-3.2045e-03 + i -4.1878e-04
-1.0551e-03 + i -1.2160e-03
-1.3959e-04 + i 1.2949e-04
-1.3990e-03 + i 6.1461e-04
-1.7855e-03 + i -1.2241e-03
7.0512e-04 + i -2.1665e-03
2.6971e-03 + i 5.8927e-04
3.2733e-04 + i 3.8387e-03
-3.9279e-03 + i 2.6665e-03
-4.5105e-03 + i -1.6918e-03
-1.2409e-03 + i -3.7258e-03
1.0837e-03 + i -2.1294e-03
6.4696e-04 + i -6.5319e-04
2.7160e-04 + i -9.9298e-04
1.1716e-03 + i -8.1707e-04
1.0212e-03 + i 6.0980e-04
-6.9946e-04 + i 6.4855e-04
-9.5289e-04 + i -1.3567e-03
1.3697e-03 + i -2.0854e-03
2.9331e-03 + i 2.3797e-04
1.2517e-03 + i 2.6356e-03
-1.4257e-03 + i 2.1026e-03
-1.9824e-03 + i -4.6243e-05
-8.9224e-04 + i -1.0477e-03
-2.7119e-04 + i -8.9739e-04
-1.7339e-04 + i -1.0835e-03
5.2867e-04 + i -1.4575e-03
1.5066e-03 + i -9.5866e-04
1.6471e-03 + i 9.6608e-05
1.0957e-03 + i 6.2800e-04
7.3654e-04 + i 6.1169e-04
6.2937e-04 + i 6.4445e-04
4.2971e-04 + i 6.6889e-04
4.0084e-04 + i 4.7778e-04
7.4253e-04 + i 5.5120e-04
8.0485e-04 + i 1.1924e-03
1.0478e-04 + i 1.6730e-03
-6.7175e-04 + i 1.3110e-03
-6.9631e-04 + i 6.3969e-04
-2.9679e-04 + i 5.2988e-04
-2.8318e-04 + i 8.3842e-04
-6.2769e-04 + i 8.7650e-04
-7.6989e-04 + i 6.3679e-04
-7.3328e-04 + i 5.8801e-04
-9.6460e-04 + i 6.4146e-04
-1.3264e-03 + i 2.8722e-04
-1.1815e-03 + i -3.6439e-04
-5.0047e-04 + i -5.4869e-04
-9.6987e-05 + i 2.3687e-09
-5.0046e-04 + i 5.4870e-04
-1.1815e-03 + i 3.6442e-04
-1.3264e-03 + i -2.8719e-04
-9.6461e-04 + i -6.4144e-04
-7.3329e-04 + i -5.8799e-04
-7.6990e-04 + i -6.3678e-04
-6.2771e-04 + i -8.7648e-04
-2.8320e-04 + i -8.3841e-04
-2.9681e-04 + i -5.2987e-04
-6.9632e-04 + i -6.3968e-04
-6.7177e-04 + i -1.3110e-03
1.0475e-04 + i -1.6730e-03
8.0482e-04 + i -1.1924e-03
7.4251e-04 + i -5.5122e-04
4.0083e-04 + i -4.7779e-04
4.2969e-04 + i -6.6890e-04
6.2936e-04 + i -6.4446e-04
7.3653e-04 + i -6.1170e-04
1.0957e-03 + i -6.2803e-04
1.6470e-03 + i -9.6642e-05
1.5066e-03 + i 9.5862e-04
5.2870e-04 + i 1.4574e-03
-1.7336e-04 + i 1.0835e-03
-2.7118e-04 + i 8.9740e-04
-8.9222e-04 + i 1.0477e-03
-1.9824e-03 + i 4.6281e-05
-1.4258e-03 + i -2.1025e-03
1.2517e-03 + i -2.6356e-03
2.9331e-03 + i -2.3802e-04
1.3697e-03 + i 2.0853e-03
-9.5286e-04 + i 1.3567e-03
-6.9947e-04 + i -6.4854e-04
1.0212e-03 + i -6.0982e-04
1.1717e-03 + i 8.1705e-04
2.7162e-04 + i 9.9297e-04
6.4698e-04 + i 6.5318e-04
1.0838e-03 + i 2.1294e-03
-1.2409e-03 + i 3.7258e-03
-4.5104e-03 + i 1.6919e-03
-3.9280e-03 + i -2.6664e-03
3.2726e-04 + i -3.8387e-03
2.6970e-03 + i -5.8932e-04
7.0516e-04 + i 2.1665e-03
-1.7855e-03 + i 1.2241e-03
-1.3990e-03 + i -6.1458e-04
-1.3959e-04 + i -1.2948e-04
-1.0551e-03 + i 1.2160e-03
-3.2045e-03 + i 4.1884e-04
-3.6429e-03 + i -2.3206e-03
-1.6223e-03 + i -4.4305e-03
1.1389e-03 + i -4.2947e-03
2.5469e-03 + i -2.4591e-03
2.0003e-03 + i -1.1010e-03
1.6985e-03 + i -1.8216e-03
4.4641e-03 + i -2.1887e-03
7.7314e-03 + i 2.6701e-03
3.6004e-03 + i 1.1139e-02
-9.3748e-03 + i 1.2186e-02
-1.8625e-02 + i -8.9698e-04
-1.1330e-02 + i -1.7080e-02
6.1875e-03 + i -1.8807e-02
1.4702e-02 + i -6.1128e-03
8.6616e-03 + i 3.1727e-03
frame = 1
3.6078e-02 + i 0.0000e+00
-1.7318e-02 + i 4.5200e-02
-4.8041e-02 + i -5.6753e-02
9.2801e-02 + i -1.2143e-02
-4.4247e-02 + i 8.2698e-02
-2.8541e-02 + i -6.7996e-02
3.8534e-02 + i 2.2486e-02
-3.5603e-02 + i -9.9738e-03
3.5682e-02 + i -1.9655e-02
9.2663e-04 + i 3.3652e-02
-2.5570e-02 + i -9.5015e-03
1.5200e-02 + i -2.4384e-02
2.3647e-02 + i 1.9334e-02
-2.1077e-02 + i 1.4084e-02
1.7762e-03 + i -1.9195e-02
1.3185e-02 + i 1.2600e-02
-1.1466e-02 + i 4.7724e-03
1.4070e-03 + i -3.6629e-03
-2.5865e-04 + i 3.2955e-03
-4.9601e-03 + i 1.7017e-03
-1.6375e-03 + i -8.5849e-03
7.8249e-03 + i 4.0094e-03
-6.9028e-03 + i -1.7820e-03
1.0680e-02 + i 3.4232e-04
-1.1100e-02 + i 5.6278e-03
1.0326e-02 + i -1.3574e-02
7.4892e-03 + i 2.0852e-02
-1.8607e-02 + i 1.9532e-03
-5.0965e-04 + i -1.1792e-02
7.9503e-03 + i 7.7759e-04
-2.5322e-03 + i 4.7037e-03
9.8624e-05 + i -1.0015e-03
-2.1291e-03 + i 1.7896e-03
1.5030e-03 + i -6.9068e-05
-6.8143e-03 + i 2.7855e-03
3.2210e-03 + i -9.0701e-03
1.9624e-03 + i 1.0924e-02
-1.1963e-02 + i -7.3523e-03
1.0541e-02 + i -6.7237e-03
1.7264e-03 + i 8.5090e-03
-6.2942e-03 + i 2.5376e-04
-1.2477e-03 + i -3.9871e-03
-1.2241e-03 + i -3.8637e-03
7.8102e-03 + i -8.0012e-03
1.1815e-02 + i 1.1484e-02
-1.3779e-02 + i 1.1376e-02
-9.8105e-03 + i -1.5791e-02
1.8035e-02 + i -1.0082e-02
1.2170e-02 + i 1.8650e-02
-1.6984e-02 + i 1.4339e-02
-1.5077e-02 + i -1.5835e-02
1.7111e-02 + i -1.3869e-02
1.1348e-02 + i 1.8284e-02
-1.6607e-02 + i 8.7749e-03
-7.1094e-03 + i -1.4107e-02
1.4422e-02 + i -6.7968e-03
8.0471e-03 + i 1.6703e-02
-1.6905e-02 + i 1.0365e-02
-1.2174e-02 + i -1.4011e-02
1.0764e-02 + i -1.2179e-02
1.1075e-02 + i 8.5749e-03
-5.8909e-03 + i 1.0847e-02
-1.2378e-02 + i -2.2251e-03
-1.2381e-04 + i -1.4537e-02
1.5525e-02 + i -1.2899e-07
-1.2356e-04 + i 1.4537e-02
-1.2378e-02 + i 2.2253e-03
-5.8910e-03 + i -1.0847e-02
1.1075e-02 + i -8.5751e-03
1.0764e-02 + i 1.2179e-02
-1.2174e-02 + i 1.4011e-02
-1.6905e-02 + i -1.0365e-02
8.0468e-03 + i -1.6704e-02
1.4422e-02 + i 6.7966e-03
-7.1092e-03 + i 1.4107e-02
-1.6607e-02 + i -8.7747e-03
1.1347e-02 + i -1.8285e-02
1.7112e-02 + i 1.3869e-02
-1.5077e-02 + i 1.5836e-02
-1.6984e-02 + i -1.4339e-02
1.2170e-02 + i -1.8650e-02
1.8035e-02 + i 1.0082e-02
-9.8102e-03 + i 1.5791e-02
-1.3779e-02 + i -1.1376e-02
1.1815e-02 + i -1.1484e-02
7.8103e-03 + i 8.0010e-03
-1.2240e-03 + i 3.8637e-03
-1.2476e-03 + i 3.9872e-03
-6.2942e-03 + i -2.5366e-04
1.7263e-03 + i -8.5091e-03
1.0541e-02 + i 6.7236e-03
-1.1963e-02 + i 7.3525e-03
1.9622e-03 + i -1.0924e-02
3.2212e-03 + i 9.0700e-03
-6.8143e-03 + i -2.7854e-03
1.5030e-03 + i 6.9062e-05
-2.1292e-03 + i -1.7896e-03
9.8626e-05 + i 1.0015e-03
-2.5323e-03 + i -4.7037e-03
7.9503e-03 + i -7.7772e-04
-5.0946e-04 + i 1.1793e-02
-1.8607e-02 + i -1.9529e-03
7.4889e-03 + i -2.0852e-02
1.0326e-02 + i 1.3574e-02
-1.1100e-02 + i -5.6276e-03
1.0680e-02 + i -3.4246e-04
-6.9027e-03 + i 1.7821e-03
7.8249e-03 + i -4.0095e-03
-1.6373e-03 + i 8.5849e-03
-4.9602e-03 + i -1.7016e-03
-2.5871e-04 + i -3.2955e-03
1.4070e-03 + i 3.6629e-03
-1.1466e-02 + i -4.7722e-03
1.3185e-02 + i -1.2601e-02
1.7765e-03 + i 1.9194e-02
-2.1077e-02 + i -1.4083e-02
2.3647e-02 + i -1.9334e-02
1.5201e-02 + i 2.4384e-02
-2.5570e-02 + i 9.5019e-03
9.2612e-04 + i -3.3652e-02
3.5682e-02 + i 1.9654e-02
-3.5603e-02 + i 9.9742e-03
